Date,Hour,Load,Temp,Day,Time
26,6,10.75,19.2,Weekday,Day
26,7,12.5,19.2,Weekday,Day
26,8,16.5625,19.2,Weekday,Day
26,9,17.8125,19.9,Weekday,Day
26,10,20.25,20.5,Weekday,Day
26,11,8.25,21.8,Weekday,Day
26,12,8.25,22.5,Weekday,Day
26,13,19.25,22.5,Weekday,Day
26,14,19,23.1,Weekday,Day
26,15,24.5625,23.1,Weekday,Day
26,16,24.1875,23.1,Weekday,Day
26,17,12.75,23.1,Weekday,Day
26,18,8.125,22.5,Weekday,Night
26,19,5.8125,21.8,Weekday,Night
26,20,6.6875,20.5,Weekday,Night
26,21,4.25,20.5,Weekday,Night
26,22,4.75,20.5,Weekday,Night
26,23,4.5,19.9,Weekday,Night
26,24,6.4375,19.9,Weekday,Night
27,1,4.4375,19.8,Weekday,Night
27,2,4.5,19.8,Weekday,Night
27,3,4.875,19.8,Weekday,Night
27,4,4.625,19.8,Weekday,Night
27,5,6.125,19.8,Weekday,Day
27,6,6.125,19.8,Weekday,Day
27,7,8.625,19.8,Weekday,Day
27,8,4.375,19.8,Weekday,Day
27,9,7.25,20.5,Weekday,Day
27,10,5.0625,21.1,Weekday,Day
27,11,7.9375,22.4,Weekday,Day
27,12,6.125,23.1,Weekday,Day
27,13,10.75,23.1,Weekday,Day
27,14,12.75,23.8,Weekday,Day
27,15,18.0625,23.8,Weekday,Day
27,16,20.875,23.8,Weekday,Day
27,17,19.9375,23.8,Weekday,Day
27,18,12.75,23.1,Weekday,Night
27,19,13.1875,22.4,Weekday,Night
27,20,8.1875,21.1,Weekday,Night
27,21,7.5,21.1,Weekday,Night
27,22,6,21.1,Weekday,Night
27,23,5.375,20.5,Weekday,Night
27,24,8.0625,20.5,Weekday,Night
28,1,6.25,23,Weekday,Night
28,2,5.8125,23,Weekday,Night
28,3,7.75,23,Weekday,Night
28,4,5,23,Weekday,Night
28,5,5.5,23,Weekday,Day
28,6,9.9375,23,Weekday,Day
28,7,14.8125,23,Weekday,Day
28,8,20.3125,23,Weekday,Day
28,9,33.4375,23.7,Weekday,Day
28,10,29.375,24.5,Weekday,Day
28,11,21.25,26,Weekday,Day
28,12,37.5,26.8,Weekday,Day
28,13,35.125,26.8,Weekday,Day
28,14,24.125,27.5,Weekday,Day
